name,gc_result,giro_w,stage_result,stage_wins,top10,giro_total,year
Eiking Odd Christian,111,-,16,-,-,25,2019
Moscon Gianni,84,-,29,-,-,25,2019
Sagan Peter,42,-,1,12,12,4758,2020
Valverde Alejandro,3,-,1,4,4,4135,2020
Quintana Nairo,2,-,1,3,3,2901,2020
Bardet Romain,2,-,1,3,3,2863,2020
Greipel André,123,-,1,11,11,2800,2020
Mollema Bauke,6,-,1,2,2,2292,2020
Kristoff Alexander,114,-,1,4,4,2283,2020
Boasson Hagen Edvald,53,-,1,3,3,2168,2020
Rolland Pierre,8,-,1,2,2,2066,2020
Martin Dan,6,-,1,2,2,2057,2020
Pogačar Tadej,1,2,1,6,6,2024,2020
Kreuziger Roman,5,-,4,-,-,1975,2020
